Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),"whether he/she donated blood in March 2007"
2 ,9,2250,22 ,1
7 ,9,2250,89 ,1
4 ,7,1750,28 ,0
4 ,13,3250,39 ,1
2 ,6,1500,28 ,1
21 ,2,500,21 ,1
2 ,1,250,2 ,0
11 ,7,1750,64 ,0
2 ,7,1750,32 ,1
5 ,46,11500,98 ,1
4 ,6,1500,23 ,1
2 ,7,1750,28 ,1
40 ,1,250,40 ,0
2 ,7,1750,14 ,1
4 ,1,250,4 ,1
4 ,4,1000,4 ,1
1 ,14,3500,95 ,0
3 ,14,3500,35 ,0
11 ,4,1000,16 ,1
4 ,14,3500,86 ,0
14 ,2,500,14 ,0
22 ,1,250,22 ,1
2 ,14,3500,57 ,1
16 ,5,1250,27 ,0
2 ,5,1250,33 ,1
21 ,3,750,26 ,1
4 ,5,1250,35 ,1
23 ,8,2000,46 ,0
2 ,10,2500,28 ,1
2 ,1,250,2 ,0
16 ,1,250,16 ,0
23 ,6,1500,45 ,0
2 ,5,1250,47 ,1
14 ,1,250,14 ,0
2 ,4,1000,14 ,1
14 ,1,250,14 ,0
4 ,10,2500,28 ,1
11 ,2,500,14 ,0
16 ,7,1750,38 ,0
4 ,4,1000,14 ,1
9 ,5,1250,51 ,1
2 ,13,3250,76 ,1
4 ,4,1000,26 ,0
2 ,1,250,2 ,0
11 ,12,3000,58 ,0
11 ,22,5500,98 ,0
2 ,9,2250,75 ,0
4 ,6,1500,35 ,1
16 ,7,1750,87 ,1
2 ,11,2750,40 ,1
21 ,2,500,23 ,0
4 ,11,2750,61 ,0
16 ,8,2000,28 ,0
16 ,7,1750,64 ,0
11 ,6,1500,41 ,0
2 ,2,500,4 ,1
23 ,2,500,26 ,0
14 ,1,250,14 ,0
38 ,1,250,38 ,0
16 ,3,750,21 ,1
2 ,2,500,11 ,1
23 ,2,500,28 ,0
4 ,9,2250,52 ,0
2 ,5,1250,16 ,0
4 ,2,500,59 ,0
23 ,2,500,23 ,0
4 ,5,1250,34 ,0
4 ,6,1500,41 ,1
4 ,1,250,4 ,0
20 ,14,3500,69 ,1
0 ,13,3250,28 ,1
11 ,7,1750,37 ,0
13 ,3,750,14 ,1
11 ,14,3500,73 ,1
2 ,6,1500,28 ,1
2 ,5,1250,16 ,1
2 ,5,1250,11 ,1
14 ,2,500,14 ,0
11 ,1,250,11 ,1
2 ,3,750,4 ,1
3 ,21,5250,42 ,1
23 ,1,250,23 ,0
2 ,6,1500,16 ,1
16 ,2,500,27 ,0
2 ,1,250,2 ,1
11 ,7,1750,75 ,0
2 ,4,1000,16 ,0
21 ,3,750,40 ,0
2 ,1,250,2 ,1
2 ,50,12500,98 ,1
11 ,5,1250,33 ,0
2 ,12,3000,47 ,1
4 ,8,2000,40 ,1
0 ,26,6500,76 ,1
4 ,1,250,4 ,1
1 ,16,4000,35 ,1
4 ,1,250,4 ,0
4 ,17,4250,71 ,1
4 ,5,1250,16 ,1
16 ,1,250,16 ,0
2 ,2,500,11 ,1
4 ,4,1000,41 ,0
4 ,1,250,4 ,0
